SectorID,Start,End,Duration
FL183,2021-7,2021-13,7
FL184,2021-3,2021-8,6
FL184,2021-10,2021-13,4
FL185,2018-25,2018-28,4
FL19,2018-1,2018-28,28
FL19,2018-31,2018-34,4
FL19,2018-37,2018-46,10
FL19,2018-48,2018-51,4
FL19,2019-1,2019-6,6
FL19,2019-19,2019-31,13
FL19,2019-36,2019-39,4
FL19,2019-41,2019-47,7
FL19,2019-51,2020-11,13
FL19,2020-13,2021-13,53
FL190,2018-3,2018-12,10
FL190,2018-17,2018-33,17
FL190,2018-36,2018-42,7
FL190,2019-18,2019-21,4
FL190,2019-23,2019-29,7
FL190,2019-33,2019-37,5
FL190,2019-50,2020-5,8
FL190,2020-7,2020-45,39
FL190,2020-47,2021-1,7
FL190,2021-3,2021-13,11
FL195,2018-1,2018-12,12
FL195,2018-14,2018-28,15
FL195,2020-7,2020-13,7
FL195,2020-19,2020-25,7
FL195,2020-49,2021-1,5
FL196,2018-7,2018-11,5
FL197,2018-3,2018-6,4
FL197,2018-8,2018-14,7
FL197,2018-16,2018-20,5
FL197,2019-51,2020-6,8
FL197,2020-39,2021-1,15
FL197,2021-3,2021-13,11
FL199,2019-46,2019-49,4
FL199,2020-21,2020-32,12
FL199,2020-41,2020-44,4
FL199,2020-49,2021-4,8
FL2,2018-17,2018-20,4
FL2,2018-22,2018-25,4
FL2,2019-19,2019-31,13
FL2,2019-33,2019-37,5
FL2,2019-48,2019-52,5
FL2,2020-20,2020-30,11
FL2,2020-34,2021-13,32
FL20,2018-3,2018-11,9
FL20,2018-13,2018-21,9
FL20,2018-23,2018-29,7
FL20,2018-35,2018-40,6
FL20,2020-19,2020-28,10
FL20,2020-30,2020-36,7
FL20,2020-38,2020-41,4
FL20,2020-45,2021-13,21
FL200,2018-1,2018-52,52
FL200,2019-16,2019-24,9
FL200,2019-26,2019-32,7
FL200,2020-9,2020-12,4
FL200,2020-16,2020-21,6
FL200,2020-23,2020-44,22
FL200,2020-48,2021-13,18
FL201,2018-1,2018-22,22
FL201,2018-28,2018-33,6
FL201,2018-38,2018-42,5
FL201,2018-44,2018-51,8
FL201,2019-18,2019-22,5
FL201,2019-26,2019-31,6
FL201,2020-22,2020-25,4
FL201,2020-47,2021-8,14
FL203,2018-4,2018-7,4
FL203,2018-9,2018-16,8
FL203,2018-28,2018-31,4
FL203,2018-41,2018-44,4
FL203,2018-51,2019-4,6
FL203,2019-18,2019-22,5
FL203,2020-6,2020-9,4
FL203,2021-3,2021-6,4
FL204,2018-33,2018-36,4
FL204,2019-26,2019-29,4
FL204,2019-45,2020-28,36
FL204,2020-37,2020-42,6
FL205,2020-22,2020-25,4
FL205,2020-51,2021-2,4
FL206,2018-1,2018-6,6
FL206,2018-13,2018-20,8
FL206,2018-24,2018-33,10
FL206,2018-38,2018-41,4
FL206,2018-47,2019-3,9
FL206,2019-46,2019-49,4
FL206,2020-22,2020-30,9
FL206,2020-42,2020-46,5
FL206,2021-3,2021-8,6
FL206,2021-10,2021-13,4
FL207,2018-1,2018-6,6
FL207,2018-15,2018-20,6
FL207,2018-23,2018-52,30
FL207,2020-21,2020-28,8
FL207,2020-30,2020-44,15
FL207,2020-46,2021-13,20
FL208,2018-2,2018-10,9
FL208,2018-29,2018-34,6
FL209,2018-14,2018-18,5
FL209,2018-24,2018-28,5
FL209,2018-40,2018-44,5
FL209,2019-27,2019-30,4
FL209,2020-28,2020-33,6
FL209,2020-43,2020-46,4
FL209,2020-48,2021-1,6
FL209,2021-3,2021-10,8
FL21,2018-16,2018-20,5
FL21,2018-23,2018-26,4
FL21,2018-36,2018-49,14
FL21,2020-24,2020-28,5
FL21,2020-33,2020-38,6
FL21,2020-42,2020-45,4
FL21,2020-50,2021-2,5
FL21,2021-4,2021-13,10
FL210,2018-1,2018-27,27
FL210,2018-29,2018-35,7
FL210,2018-40,2018-49,10
FL210,2018-51,2019-4,6
FL210,2019-21,2019-25,5
FL210,2019-44,2019-47,4
FL210,2019-52,2020-4,5
FL210,2020-27,2020-33,7
FL210,2020-41,2020-50,10
FL210,2020-52,2021-10,11
FL211,2018-1,2018-7,7
FL211,2018-12,2019-3,44
FL211,2019-19,2019-29,11
FL211,2019-36,2020-9,26
FL211,2020-20,2020-31,12
FL211,2020-35,2021-8,26
FL211,2021-10,2021-13,4
FL212,2018-1,2018-9,9
FL212,2018-11,2018-19,9
FL212,2018-23,2018-29,7
FL212,2018-31,2018-42,12
FL212,2018-45,2018-51,7
FL212,2019-3,2019-6,4
FL212,2019-22,2019-25,4
FL212,2019-47,2019-50,4
FL212,2020-27,2020-34,8
FL212,2020-41,2020-44,4
FL212,2020-47,2021-12,18
FL213,2019-11,2019-14,4
FL213,2019-23,2019-29,7
FL213,2020-16,2020-19,4
FL213,2020-35,2020-43,9
FL213,2020-51,2021-2,4
FL213,2021-4,2021-13,10
FL214,2019-17,2019-21,5
FL214,2020-13,2020-17,5
FL214,2020-41,2020-44,4
FL214,2020-48,2021-1,6
FL215,2020-46,2020-49,4
FL216,2018-19,2018-30,12
FL216,2018-45,2019-3,11
FL216,2019-22,2019-25,4
FL216,2019-41,2019-45,5
